,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
0,Seq29_lr_SNRdb_60.wav,87.56666666666668,19.38792844827898,49.666666666666664,96.51474530831099
1,Seq41_lr_SNRdb_8.wav,76.06701236537694,31.383689274421283,74.03270841643399,40.0
2,Seq37_lr_SNRdb_-18.wav,50.06644518272425,41.97614705892417,71.59468438538205,4.524284763805722
3,Seq31_lr_SNRdb_60.wav,85.83333333333333,33.03044154224102,72.93333333333332,92.94117647058823
4,Seq38_lr_SNRdb_-18.wav,28.27540106951872,48.14725221560047,78.07486631016043,0.4659832246039142
5,Seq39_lr_SNRdb_-18.wav,51.076515402451136,40.766064448487256,73.73302418019212,3.9945836154366963
6,Seq37_lr_SNRdb_60.wav,87.60797342192691,28.76706412617147,71.59468438538205,91.15281501340483
7,Seq26_lr_SNRdb_-18.wav,48.1,45.207568752681,63.866666666666674,3.339755940912011
8,Seq27_lr_SNRdb_60.wav,90.43333333333334,22.77423795397737,68.83333333333333,95.47038327526133
9,Seq28_lr_SNRdb_60.wav,88.23333333333333,32.3602031264971,75.7,98.58356940509914
10,Seq32_lr_SNRdb_-18.wav,37.2,47.12463489142616,70.76666666666667,0.3715498938428875
11,Seq27_lr_SNRdb_-18.wav,47.96666666666667,43.577323176160014,68.83333333333333,3.074951953875721
12,Seq34_lr_SNRdb_8.wav,77.27424191936021,27.973412071179265,69.34355214928357,42.52199413489736
13,Seq26_lr_SNRdb_8.wav,79.66666666666666,22.518457001953625,63.866666666666674,42.131147540983605
14,Seq33_lr_SNRdb_60.wav,87.73553719008265,29.613491536930457,72.09917355371901,94.87870619946092
15,Seq35_lr_SNRdb_8.wav,86.81063122923588,27.235423524007196,68.20598006644518,88.16120906801007
16,Seq25_lr_SNRdb_60.wav,89.63333333333333,17.822517446627618,66.43333333333334,66.55948553054662
17,Seq38_lr_SNRdb_60.wav,86.09625668449198,38.47477175054607,78.07486631016043,98.3173076923077
18,Seq33_lr_SNRdb_-18.wav,49.75206611570248,41.58688132325952,72.09917355371901,2.5657894736842106
19,Seq42_lr_SNRdb_-18.wav,74.34114202049781,35.58682115359853,76.86676427525623,39.80028530670471
20,Seq43_lr_SNRdb_8.wav,76.76694454512504,33.40384742513386,70.89525190286335,53.198127925117
21,Seq39_lr_SNRdb_8.wav,78.46969195097715,31.396751173044574,73.73302418019212,47.23076923076923
