,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
0,Seq35_lr_repeat_2_SNRdb_-8.wav,78.20598006644518,39.522385468106975,68.20598006644518,93.29268292682927
1,Seq39_lr_repeat_1_SNRdb_30.wav,86.41934415369327,29.04319821143125,73.73302418019212,75.60975609756098
2,Seq35_lr_repeat_0_SNRdb_60.wav,95.84717607973423,9.3184300344491,68.20598006644518,77.60000000000001
3,Seq31_lr_repeat_2_SNRdb_-8.wav,90.4,10.862753751103266,72.93333333333332,31.25
4,Seq26_lr_repeat_2_SNRdb_-8.wav,74.86666666666667,36.80391090920835,63.866666666666674,75.72944297082228
5,Seq37_lr_repeat_1_SNRdb_0.wav,80.96345514950166,37.27250495305672,71.59468438538205,85.16579406631763
6,Seq41_lr_repeat_0_SNRdb_0.wav,93.45831671320303,10.671556553562134,74.03270841643399,45.1219512195122
7,Seq27_lr_repeat_2_SNRdb_15.wav,94.43333333333334,10.957865660963789,68.83333333333333,67.06586826347305
8,Seq39_lr_repeat_0_SNRdb_-8.wav,85.85624378933421,28.45677391585064,73.73302418019212,69.55503512880561
9,Seq26_lr_repeat_2_SNRdb_-18.wav,67.46666666666667,43.433889279614185,63.866666666666674,73.97540983606558
10,Seq29_lr_repeat_2_SNRdb_60.wav,95.53333333333333,6.731093998041004,49.666666666666664,79.8507462686567
11,Seq38_lr_repeat_0_SNRdb_30.wav,94.18449197860963,13.713509843856079,78.07486631016043,58.04597701149425
12,Seq39_lr_repeat_1_SNRdb_-18.wav,73.03742961245445,47.80915825355636,73.73302418019212,84.02948402948402
13,AudioBand4f.wav,90.69597959431556,21.858124010837695,84.2706182436536,44.38642297650131
14,Seq42_lr_repeat_2_SNRdb_15.wav,92.20351390922401,20.045719612821326,76.86676427525623,72.30046948356808
15,Seq36_lr_repeat_2_SNRdb_30.wav,86.89239021119678,28.200035361942476,75.72913174656387,68.79795396419436
16,Seq36_lr_repeat_1_SNRdb_30.wav,92.75896748240027,9.834022992292372,75.72913174656387,34.25925925925926
17,Seq25_lr_repeat_2_SNRdb_30.wav,84.06666666666666,27.93495416137248,66.43333333333334,77.19665271966527
18,Seq26_lr_repeat_1_SNRdb_60.wav,94.63333333333334,7.391769157114836,63.866666666666674,51.5527950310559
19,Seq31_lr_repeat_1_SNRdb_0.wav,83.16666666666667,23.532758788181578,72.93333333333332,42.97029702970297
20,Seq43_lr_repeat_1_SNRdb_30.wav,89.34396520478434,22.846336196827473,70.89525190286335,78.2312925170068
21,Seq25_lr_repeat_0_SNRdb_-8.wav,80.33333333333333,22.67284775745855,66.43333333333334,41.35593220338983
22,Seq30_lr_repeat_1_SNRdb_-18.wav,69.66666666666667,31.95179755688406,71.63333333333334,31.0989010989011
23,Seq37_lr_repeat_1_SNRdb_60.wav,91.3953488372093,19.24575789559146,71.59468438538205,76.44787644787645
