,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
0,Seq28_lr_SNRdb_60.wav,88.23333333333333,32.3602031264971,75.7,98.58356940509914
1,AudioBand7a.wav,95.05,19.097400742644957,83.575,77.27272727272727
2,AudioBand1e.wav,87.93333333333334,19.90820289056414,60.31666666666666,78.1767955801105
3,AudioBand1b.wav,86.8,31.028780431683295,72.54,92.27272727272727
4,AudioBand4a.wav,92.60000000000001,33.98709543267471,87.51666666666667,85.8108108108108
5,Seq28_lr_SNRdb_8.wav,83.2,31.257853293974,75.7,59.92063492063492
6,AudioBand9b.wav,90.78092190780922,11.446719011365,43.775622437756226,74.62039045553145
7,AudioBand11a.wav,90.16098390160984,13.058592565482002,44.14558544145585,81.8089430894309
