,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
0,Seq28_lr_SNRdb_60.wav,75.73333333333333,49.96568291008923,75.7,100.0
1,AudioBand7a.wav,83.55,50.007479431563105,83.575,99.84802431610942
2,AudioBand1e.wav,60.333333333333336,49.98949800462088,60.31666666666666,100.0
3,AudioBand1b.wav,72.52,50.006893699158894,72.54,99.92721979621543
4,AudioBand4a.wav,87.5,50.004761451290335,87.51666666666667,99.86666666666667
5,Seq28_lr_SNRdb_8.wav,75.73333333333333,49.96568291008923,75.7,100.0
6,AudioBand9b.wav,43.775622437756226,50.00126460165444,43.775622437756226,99.98221589898631
7,AudioBand11a.wav,44.16558344165583,49.991047448522835,44.14558544145585,100.0
