,Recording,Accuracy(%),EER(%),Speech Percentage,Mislabelled Silence(%)
5,Seq39_lr_SNRdb_-18.wav,36.469029479960255,46.37615454387874,73.73302418019212,0.2606882168925964
6,Seq37_lr_SNRdb_60.wav,91.2624584717608,21.194384486840274,71.59468438538205,85.93155893536122
7,Seq26_lr_SNRdb_-18.wav,43.333333333333336,47.44619263270939,63.866666666666674,2.941176470588235
8,Seq27_lr_SNRdb_60.wav,93.7,15.149662525677396,68.83333333333333,87.3015873015873
9,Seq28_lr_SNRdb_60.wav,91.36666666666666,25.88152630983853,75.7,98.06949806949807
10,Seq32_lr_SNRdb_-18.wav,31.566666666666666,49.161877394636015,70.76666666666667,0.0
11,Seq27_lr_SNRdb_-18.wav,44.3,45.085596915807656,68.83333333333333,1.7953321364452424
12,Seq34_lr_SNRdb_8.wav,69.91002999000332,30.220400981990146,69.34355214928357,9.523809523809524
13,Seq26_lr_SNRdb_8.wav,78.13333333333333,23.211201858838333,63.866666666666674,25.152439024390244
14,Seq33_lr_SNRdb_60.wav,92.0,19.03033508653096,72.09917355371901,80.16528925619835
15,Seq35_lr_SNRdb_8.wav,88.20598006644518,18.969856947774964,68.20598006644518,58.59154929577465
16,Seq25_lr_SNRdb_60.wav,92.96666666666667,9.759046225434687,66.43333333333334,48.81516587677725
17,Seq38_lr_SNRdb_60.wav,90.24064171122996,26.25046533547718,78.07486631016043,77.73972602739725
18,Seq33_lr_SNRdb_-18.wav,40.49586776859504,45.69538733166972,72.09917355371901,1.6666666666666667
19,Seq42_lr_SNRdb_-18.wav,65.88579795021961,32.42037648318315,76.86676427525623,13.626609442060087
20,Seq43_lr_SNRdb_8.wav,77.67306995288148,24.269221201432437,70.89525190286335,32.95454545454545
21,Seq39_lr_SNRdb_8.wav,73.56740642596887,26.40869290807288,73.73302418019212,13.909774436090224
22,Seq40_lr_SNRdb_-18.wav,44.0153514032142,42.82631010089274,80.97865195490526,3.8131962296486717
23,Seq38_lr_SNRdb_8.wav,57.38636363636363,36.64767028023403,78.07486631016043,5.647058823529412
24,Seq32_lr_SNRdb_8.wav,70.86666666666666,29.156630079728313,70.76666666666667,7.665903890160183
25,Seq30_lr_SNRdb_8.wav,64.76666666666667,33.63571442357801,71.63333333333334,10.879848628192999
26,Seq32_lr_SNRdb_60.wav,92.0,18.15844216529193,70.76666666666667,79.16666666666666
27,Seq31_lr_SNRdb_8.wav,75.33333333333333,24.891764293030782,72.93333333333332,18.783783783783782
28,Seq30_lr_SNRdb_60.wav,91.46666666666667,21.546496593014673,71.63333333333334,90.234375
29,Seq36_lr_SNRdb_60.wav,93.73114314448542,14.490877874837274,75.72913174656387,63.63636363636363
30,Seq36_lr_SNRdb_-18.wav,46.496815286624205,43.31395696199103,75.72913174656387,5.889724310776942
31,Seq25_lr_SNRdb_8.wav,75.53333333333333,25.388195454816653,66.43333333333334,23.29700272479564
32,Seq42_lr_SNRdb_8.wav,88.6896046852123,18.35822340814702,76.86676427525623,42.07119741100323
33,Seq26_lr_SNRdb_60.wav,92.2,13.701703537001872,63.866666666666674,70.94017094017094
34,Seq25_lr_SNRdb_-18.wav,51.2,43.4186141462407,66.43333333333334,8.60655737704918
35,Seq34_lr_SNRdb_60.wav,91.23625458180607,20.13197623205821,69.34355214928357,86.69201520912547
36,Seq34_lr_SNRdb_-18.wav,35.121626124625124,48.336643495531284,69.34355214928357,0.0
37,Seq29_lr_SNRdb_8.wav,87.53333333333333,17.00982539583125,49.666666666666664,22.994652406417114
38,Seq40_lr_SNRdb_8.wav,82.89757735668026,25.51324365840495,80.97865195490526,32.678821879382895
39,Seq37_lr_SNRdb_8.wav,71.96013289036544,28.100905299562655,71.59468438538205,13.86255924170616
40,Seq33_lr_SNRdb_8.wav,71.3388429752066,28.54935876079142,72.09917355371901,15.801614763552479
41,Seq27_lr_SNRdb_8.wav,78.56666666666666,22.78065846192617,68.83333333333333,15.085536547433904
42,Seq30_lr_SNRdb_-18.wav,39.300000000000004,46.43042398433936,71.63333333333334,1.9220208676551345
43,Seq29_lr_SNRdb_-18.wav,60.06666666666667,44.4731622287672,49.666666666666664,1.8363939899833055
44,Seq41_lr_SNRdb_-18.wav,35.221380135620265,48.086340382458346,74.03270841643399,3.571428571428571
45,Seq44_lr_SNRdb_-18.wav,40.95477386934673,46.09315058484606,69.1313711414214,0.12158054711246201
46,Seq42_lr_SNRdb_60.wav,92.60614934114201,17.45530179823759,76.86676427525623,63.86138613861386
47,Seq35_lr_SNRdb_-18.wav,58.6046511627907,38.31622504593022,68.20598006644518,7.062600321027287
48,Seq39_lr_SNRdb_60.wav,92.34845975488572,15.45774640850967,73.73302418019212,60.17316017316018
49,Seq41_lr_SNRdb_60.wav,91.70323095333067,19.21460309835475,74.03270841643399,72.11538461538461
50,Seq31_lr_SNRdb_-18.wav,51.7,41.07889180921204,72.93333333333332,6.004140786749482
51,Seq28_lr_SNRdb_8.wav,79.06666666666666,25.682293226798887,75.7,32.64331210191082
52,Seq43_lr_SNRdb_60.wav,91.3374411018485,21.464570098722906,70.89525190286335,90.7949790794979
53,Seq44_lr_SNRdb_60.wav,92.89303661162958,14.372214996908514,69.1313711414214,70.70707070707071
54,Seq43_lr_SNRdb_-18.wav,36.06379122870605,48.04926595554596,70.89525190286335,2.0408163265306123
55,Seq36_lr_SNRdb_8.wav,79.48374120013409,23.331874977515405,75.72913174656387,29.08496732026144
56,Seq40_lr_SNRdb_60.wav,94.14727752458624,20.580525486166145,80.97865195490526,83.19672131147541
57,Seq44_lr_SNRdb_8.wav,81.33524766690596,19.724161656993108,69.1313711414214,20.0
58,Seq28_lr_SNRdb_-18.wav,48.5,43.39020816799951,75.7,9.12621359223301
59,Seq35_lr_SNRdb_60.wav,94.0531561461794,14.008324479232668,68.20598006644518,86.03351955307262
